Number,Assigned space,Identifier,24-8-2023,25-8-2023,26-8-2023,27-8-2023,28-8-2023,29-8-2023,30-8-2023,31-8-2023,1-9-2023,2-9-2023,3-9-2023,4-9-2023,5-9-2023,6-9-2023,7-9-2023,8-9-2023,9-9-2023,10-9-2023,11-9-2023,12-9-2023,13-9-2023,14-9-2023,15-9-2023,16-9-2023,17-9-2023,18-9-2023,19-9-2023,20-9-2023,21-9-2023,22-9-2023,23-9-2023,24-9-2023,25-9-2023,26-9-2023,27-9-2023,28-9-2023,29-9-2023,30-9-2023,1-10-2023,2-10-2023,3-10-2023,4-10-2023,5-10-2023,6-10-2023,7-10-2023,8-10-2023,9-10-2023,10-10-2023,11-10-2023,12-10-2023,13-10-2023,14-10-2023,15-10-2023,16-10-2023,17-10-2023,18-10-2023,19-10-2023,20-10-2023,21-10-2023,22-10-2023,23-10-2023,24-10-2023,25-10-2023,26-10-2023,27-10-2023,28-10-2023,29-10-2023,30-10-2023,31-10-2023,1-11-2023,2-11-2023,3-11-2023,4-11-2023,5-11-2023,6-11-2023,7-11-2023,8-11-2023,9-11-2023,10-11-2023,11-11-2023,12-11-2023,13-11-2023,14-11-2023,15-11-2023,16-11-2023,17-11-2023,18-11-2023,19-11-2023,20-11-2023,21-11-2023,22-11-2023,23-11-2023,24-11-2023,25-11-2023,26-11-2023,27-11-2023,28-11-2023,29-11-2023,30-11-2023,1-12-2023,2-12-2023,3-12-2023,4-12-2023,5-12-2023,6-12-2023,7-12-2023,8-12-2023,9-12-2023,10-12-2023,11-12-2023,12-12-2023,13-12-2023,14-12-2023,15-12-2023,16-12-2023,17-12-2023,18-12-2023,19-12-2023,20-12-2023,21-12-2023,22-12-2023,23-12-2023
378838,Premium Double - 0625,357d87f3-164f-445a-9263-b07c00dfcdf5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.48,197.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375635,Premium Double - 0723,bfb72e31-5095-42c3-986a-b06e00df5e33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.06,157.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383605,Premium Double - 0825,1bbef524-b4e5-4075-9387-b096008c24ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383757,Premium Double - 0948,721ba997-be50-43a0-9b79-b09700483b7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382660,Premium Twin - 0627,a285c846-7d6e-4616-a3ae-b09000b55cb6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.9,215.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376678,Premium Twin - 0827,153f5342-52e4-4870-acd9-b07300fb8d4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376536,Comfort Double - 0218,c2ad8bd2-aaf7-40fd-b3a7-b07300b39e54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376535,Comfort Double - 0220,aa1e4aaf-1473-46a9-9b68-b07300b39e54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379712,Comfort Double - 0240,215585ff-fd5f-4f89-9d15-b08100f0ef0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382578,Comfort Double - 0241,c9862674-acac-41d4-b2ec-b08f00e99d23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
