Number,Status,Arrival,Departure,Count (nights),"Count (bed, nightly)",Requested category,Space category,Person count,Adults,Children
376608,Checked out,2023-10-01 13:55:30.863,2023-10-02 08:52:56.431,1,2,Comfort Double,Comfort Double,2,2,0
376607,Checked out,2023-10-01 16:51:19.440,2023-10-02 08:56:49.870,1,1,Comfort Double,Comfort Double,1,1,0
368189,Checked out,2023-10-01 16:33:23.294,2023-10-05 10:01:23.425,4,4,Comfort Double,Comfort Double,1,1,0
376611,Checked out,2023-10-01 15:18:57.200,2023-10-02 09:15:22.907,1,2,Comfort Double,Comfort Twin,2,2,0
376605,Checked out,2023-10-01 15:38:09.583,2023-10-02 08:57:39.446,1,2,Comfort Double,Comfort Twin,2,2,0
382343,Checked out,2023-10-01 16:10:40.923,2023-10-02 05:16:52.914,1,1,Comfort Twin,Comfort Twin,1,1,0
368314,Checked out,2023-10-01 17:02:28.666,2023-10-05 10:25:33.184,4,8,Comfort Twin,Comfort Twin,2,2,0
368315,Checked out,2023-10-01 21:16:05.008,2023-10-05 08:53:13.867,4,8,Comfort Twin,Comfort Twin,2,2,0
376618,Checked out,2023-10-01 16:35:23.041,2023-10-02 11:00:00.000,1,2,Comfort Double,Comfort Twin,2,2,0
376591,Checked out,2023-10-01 15:35:08.243,2023-10-02 08:55:48.600,1,2,Comfort Twin,Comfort Twin,2,2,0
376585,Checked out,2023-10-01 16:15:15.026,2023-10-02 08:56:34.220,1,2,Comfort Twin,Comfort Twin,2,2,0
376590,Checked out,2023-10-01 16:16:01.488,2023-10-02 08:56:02.240,1,2,Comfort Twin,Comfort Twin,2,2,0
382489,Checked out,2023-10-01 21:33:08.250,2023-10-02 09:10:55.895,1,1,Comfort Twin,Comfort Twin,1,1,0
376603,Checked out,2023-10-01 15:01:16.397,2023-10-02 09:07:06.080,1,2,Comfort Double,Comfort Twin,2,2,0
331023,Checked out,2023-10-01 15:06:55.011,2023-10-02 10:31:08.660,1,2,Comfort Twin,Comfort Twin,2,2,0
376606,Checked out,2023-10-01 15:03:00.028,2023-10-02 08:57:21.211,1,2,Comfort Double,Comfort Twin,2,2,0
376587,Checked out,2023-10-01 15:54:14.388,2023-10-02 08:53:14.529,1,2,Comfort Twin,Comfort Twin,2,2,0
379676,Checked out,2023-10-01 20:36:24.726,2023-10-03 09:10:19.609,2,2,Comfort Twin,Comfort Twin,1,1,0
371505,Checked out,2023-10-01 21:25:27.386,2023-10-02 09:04:10.231,1,1,Comfort Twin,Comfort Twin,1,1,0
382438,Checked out,2023-10-01 12:47:08.236,2023-10-03 11:00:00.000,2,2,Comfort Twin,Comfort Twin,1,1,0
376594,Checked out,2023-10-01 15:23:13.674,2023-10-02 10:27:38.920,1,2,Comfort Twin,Comfort Twin,2,2,0
381152,Checked out,2023-10-01 06:56:33.874,2023-10-02 14:00:00.000,1,1,Comfort Twin,Comfort Twin,1,1,0
382484,Checked out,2023-10-01 20:54:22.465,2023-10-02 10:31:35.889,1,1,Premium Double,Premium Double,1,1,0
382477,Checked out,2023-10-02 12:19:02.429,2023-10-03 11:00:00.000,1,2,Comfort Accessible,Comfort Accessible,2,2,0
381612,Checked out,2023-10-02 23:51:41.341,2023-10-04 08:56:04.710,2,2,Comfort Double,Comfort Double,1,1,0
